text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @Semhar: 16 yrs ago, I began working as a lawyer for the #Eritrea-#Ethiopia peace process. Our office was in Asmara, in the 3-story buil…",FALSE,0,NA,2018-07-07T16:34:04Z,FALSE,NA,1015635066578440193,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bhabte,3,TRUE,FALSE,NA,NA
"RT @stesfamariam: There are many adjectives that can be used to describe the gallant, peace making peace yearning people of #Eritrea- but n…",FALSE,0,NA,2018-07-07T16:33:39Z,FALSE,NA,1015634961657991169,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",EritreaRT1,1,TRUE,FALSE,NA,NA
"RT @Semhar: 16 yrs ago, I began working as a lawyer for the #Eritrea-#Ethiopia peace process. Our office was in Asmara, in the 3-story buil…",FALSE,0,NA,2018-07-07T16:33:19Z,FALSE,NA,1015634880351203328,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",QueenBeph,3,TRUE,FALSE,NA,NA
"የህወሓት አሮጌው በጀት ቀመር፣ የ30 ሚሊዮን ሥራአጥ ወጣቶችን ችግር አይፈታም!!! – ከኢትዮጵያ ኢኮኖሚክስ ማህበር | ""አስሬ ለካ፣ አንዴ ቁረጥ!!!""… https://t.co/6dxwRFTv4w",FALSE,0,NA,2018-07-07T16:32:39Z,TRUE,NA,1015634710331092992,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",zehabesha,0,FALSE,FALSE,NA,NA
"RT @boyfacemedia: Narcotics by ! Listen here: https://t.co/OhvVROpCjV
 Listen to MENELIK I by BOY FACE -https://t.co/G89t2AaYaG #np on #Sou…",FALSE,0,NA,2018-07-07T16:32:25Z,FALSE,NA,1015634654421020672,NA,"<a href=""https://stakingpools.com"" rel=""nofollow"">TwitterBot_SP</a>",stakingpools,1,TRUE,FALSE,NA,NA
"There are many adjectives that can be used to describe the gallant, peace making peace yearning people of #Eritrea-… https://t.co/JK4DzCSFEB",FALSE,0,NA,2018-07-07T16:32:17Z,TRUE,NA,1015634619562151936,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",stesfamariam,1,FALSE,FALSE,NA,NA
"Narcotics by ! Listen here: https://t.co/OhvVROpCjV
 Listen to MENELIK I by BOY FACE -https://t.co/G89t2AaYaG #np o… https://t.co/AdzBXeJuP0",FALSE,0,NA,2018-07-07T16:32:08Z,TRUE,NA,1015634582690033665,NA,"<a href=""https://airtime.pro"" rel=""nofollow"">Airtime Pro</a>",boyfacemedia,1,FALSE,FALSE,NA,NA
This made ma day!!! That's the spirit we need now and always. We #Respect everyone from the past &amp; do our part toda… https://t.co/UfZRCnALzi,FALSE,0,NA,2018-07-07T16:31:49Z,TRUE,NA,1015634500766793729,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AbiselomM,0,FALSE,FALSE,NA,NA
RT @saayounis: Reversing 16 years of bellicose  “...before #Ethiopia gets the hell out of #Eritrea....” without consultation and overnight…,FALSE,0,NA,2018-07-07T16:31:42Z,FALSE,NA,1015634474468630530,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ethiopia_Abebe,3,TRUE,FALSE,NA,NA
"RT @Semhar: 16 yrs ago, I began working as a lawyer for the #Eritrea-#Ethiopia peace process. Our office was in Asmara, in the 3-story buil…",FALSE,0,NA,2018-07-07T16:30:58Z,FALSE,NA,1015634286563725312,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sexsyluv,3,TRUE,FALSE,NA,NA
