authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId.value,videoId,textDisplay,textOriginal,canRate,viewerRating,likeCount,publishedAt,updatedAt,id,parentId,moderationStatus
yerom abtwe,https://yt3.ggpht.com/-BaG7Y_Xiw1U/AAAAAAAAAAI/AAAAAAAAAAA/YqQnhsJIo14/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCJtNpm7tWzk1qYlTGZqiGbg,UCJtNpm7tWzk1qYlTGZqiGbg,5oSTkOpTOBA,I am happy to see in my  life  Dr Aby God bless you  you are   Amazing   IMinster   7 እግዚአብሔርም አለ፡— በግብፅ ያለውን የሕዝቤን መከራ በእውነት አየሁ፥ ከአስገባሪዎቻቸውም የተነሣ ጩኸታቸውን ሰማሁ፤ ሥቃያቸውንም አውቄአለሁ፤,I am happy to see in my  life  Dr Aby God bless you  you are   Amazing   IMinster   7 እግዚአብሔርም አለ፡— በግብፅ ያለውን የሕዝቤን መከራ በእውነት አየሁ፥ ከአስገባሪዎቻቸውም የተነሣ ጩኸታቸውን ሰማሁ፤ ሥቃያቸውንም አውቄአለሁ፤,TRUE,none,0,2018-07-14T21:42:06.000Z,2018-07-14T21:42:06.000Z,UgzqhmUh84P_J8RpFFp4AaABAg,NA,NA
Aben Alexander,https://yt3.ggpht.com/--ndkdhwgFiQ/AAAAAAAAAAI/AAAAAAAAAAA/Tmfch7pj0sY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UClFfQwoHXH2znbRgDMxRnzg,UClFfQwoHXH2znbRgDMxRnzg,5oSTkOpTOBA,Love ❤️ for Ethiopia 🇺🇸🇪🇹 Love for The United States of America 🇺🇸 ❤️ Love for Eritrea 🇪🇷 🇪🇹🇪🇷🇺🇸🇪🇹🇺🇸❤️❤️❤️❤️ I pray to god for more wisdom for the leaders. Please God bring more peace and love to the earth 🌏. We are starving for Gods wisdom and love ❤️. Please God give us all the guidance and wisdom so that we can serve each other fairly and serve you faithfully!!,Love ❤️ for Ethiopia 🇺🇸🇪🇹 Love for The United States of America 🇺🇸 ❤️ Love for Eritrea 🇪🇷 🇪🇹🇪🇷🇺🇸🇪🇹🇺🇸❤️❤️❤️❤️ I pray to god for more wisdom for the leaders. Please God bring more peace and love to the earth 🌏. We are starving for Gods wisdom and love ❤️. Please God give us all the guidance and wisdom so that we can serve each other fairly and serve you faithfully!!,TRUE,none,0,2018-07-14T15:37:21.000Z,2018-07-14T15:37:21.000Z,UgypINSbkkSz8B_5zH14AaABAg,NA,NA
Mike,https://yt3.ggpht.com/-BSooaQXD8Bo/AAAAAAAAAAI/AAAAAAAAAAA/Ego3GtsUqQQ/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UC_Rhp2_GncVaL-T6bnkStUA,UC_Rhp2_GncVaL-T6bnkStUA,5oSTkOpTOBA,The people of ethiopia and eritrea are happy...the only one unhappy is tplf jiboch who are jelous President Esayas is getting more love than the late crime minister Meles Zenawi...the people write the history not TPLF...power to the people,The people of ethiopia and eritrea are happy...the only one unhappy is tplf jiboch who are jelous President Esayas is getting more love than the late crime minister Meles Zenawi...the people write the history not TPLF...power to the people,TRUE,none,1,2018-07-14T13:18:37.000Z,2018-07-14T13:18:52.000Z,UgzZhc84TTWv6C9MQgp4AaABAg,NA,NA
Ahmed .M.Salem,https://yt3.ggpht.com/-IDlWk1sBmI0/AAAAAAAAAAI/AAAAAAAAAAA/rYIUxKbPjo0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCxsIW135WwPyjaw-LI9MeGg,UCxsIW135WwPyjaw-LI9MeGg,5oSTkOpTOBA,"Peace for Eritrea and Ethiopia.<br />We are all in yemen happy to see this.<br />Yemen, Eritrea and Ethiopia have a same history.<br />From Yemen","Peace for Eritrea and Ethiopia.
We are all in yemen happy to see this.
Yemen, Eritrea and Ethiopia have a same history.
From Yemen",TRUE,none,0,2018-07-14T11:56:59.000Z,2018-07-14T11:56:59.000Z,UgyJOSJZCcSiM5xp7Fh4AaABAg,NA,NA
Yohannes Afewerki,https://yt3.ggpht.com/-dLrVNVQfToQ/AAAAAAAAAAI/AAAAAAAAAAA/YqOxUbFZq04/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCM5IYJwmJj2FlCJvuVLAKVQ,UCM5IYJwmJj2FlCJvuVLAKVQ,5oSTkOpTOBA,Wawwww ainkan desalen,Wawwww ainkan desalen,TRUE,none,0,2018-07-14T10:24:58.000Z,2018-07-14T10:24:58.000Z,UgyQW5-Q-Id6IIfROXN4AaABAg,NA,NA
wadani onkot,https://yt3.ggpht.com/-0XPLcBCyzV0/AAAAAAAAAAI/AAAAAAAAAAA/FUINwQ3RHf0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCljYCFcMniYGiWxVWc9iXBA,UCljYCFcMniYGiWxVWc9iXBA,5oSTkOpTOBA,t&#39;s amazing time but there&#39;s still dictatorship that sows the blood. today is democracy. if the devil disappears in the horn of Africa,t's amazing time but there's still dictatorship that sows the blood. today is democracy. if the devil disappears in the horn of Africa,TRUE,none,0,2018-07-14T10:22:01.000Z,2018-07-14T10:22:01.000Z,UgxRlxq3P25u_G9gYKx4AaABAg,NA,NA
Daniel Henry,https://yt3.ggpht.com/-aarnN3rGhDw/AAAAAAAAAAI/AAAAAAAAAAA/gigqi3GW5jY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCsDUyq89wIMEczzm7bTRFvQ,UCsDUyq89wIMEczzm7bTRFvQ,5oSTkOpTOBA,yes  yes,yes  yes,TRUE,none,0,2018-07-14T10:08:08.000Z,2018-07-14T10:08:08.000Z,UgynQpvPcSGsEzuFcKV4AaABAg,NA,NA
Selamawit Admassu,https://yt3.ggpht.com/-zTS4HIfaqGA/AAAAAAAAAAI/AAAAAAAAAAA/-0ExwwfTyjA/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCUEaELwb0OhEkJmkJ7OVJcQ,UCUEaELwb0OhEkJmkJ7OVJcQ,5oSTkOpTOBA,ዋው....በጣም ደስ ይላል እግዚአሔር ይመስገን መጨረሻችንን እንግዲህ እመቤቴ ታሳምርልን ፉቅራችንን ታብዛው የጥሉ ግርግዳ ፈረሰ ሰይጣን አፈረ የሰው ልጅ ከበረ ይሉሀል እንግዲህ ይህ ነው,ዋው....በጣም ደስ ይላል እግዚአሔር ይመስገን መጨረሻችንን እንግዲህ እመቤቴ ታሳምርልን ፉቅራችንን ታብዛው የጥሉ ግርግዳ ፈረሰ ሰይጣን አፈረ የሰው ልጅ ከበረ ይሉሀል እንግዲህ ይህ ነው,TRUE,none,0,2018-07-14T09:27:20.000Z,2018-07-14T09:27:20.000Z,Ugx-wwi9a7dNyWjN_fR4AaABAg,NA,NA
Aster Abrham,https://yt3.ggpht.com/-v9312A1NW2I/AAAAAAAAAAI/AAAAAAAAAAA/bPRhgOpIuk4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCpnC7Ay2XdnWrgM6PWf1i5g,UCpnC7Ay2XdnWrgM6PWf1i5g,5oSTkOpTOBA,🇪🇷🇪🇷🇪🇷🇪🇷❤️❤️❤️❤️❤️🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🌹🌹🌹🌹🌹💐💐💐💓💓💓💓,🇪🇷🇪🇷🇪🇷🇪🇷❤️❤️❤️❤️❤️🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🌹🌹🌹🌹🌹💐💐💐💓💓💓💓,TRUE,none,1,2018-07-14T09:24:47.000Z,2018-07-14T09:24:47.000Z,Ugzq8upxbiE7pN3ZzUJ4AaABAg,NA,NA
demoustier dominique,https://yt3.ggpht.com/-7jQ27gkgKYU/AAAAAAAAAAI/AAAAAAAAAAA/3PnbFLMBmeE/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UC-yB2L_5kxHNyRsgN3fTNpg,UC-yB2L_5kxHNyRsgN3fTNpg,5oSTkOpTOBA,viva ethiopia viva eritrea,viva ethiopia viva eritrea,TRUE,none,1,2018-07-14T09:20:03.000Z,2018-07-14T09:20:03.000Z,UgyZKLqaHXb6fgk1pqF4AaABAg,NA,NA
