Indicator;Unit;Subgroup;Area;AreaID;Time_Period;Source;Data_Value;Fatal;Minor;Injured;Killed;total ;serious
Traffic accidents;Number;Fatal;Kotido;AFRUGA003006;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;8;8;10;71;9;31;13
Traffic accidents;Number;Fatal;Lira;AFRUGA003007;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;38;38;68;273;51;185;79
Traffic accidents;Number;Fatal;Moroto;AFRUGA003008;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;8;8; ;91;23;12;4
Traffic accidents;Number;Fatal;Nakapiripirit;AFRUGA003011;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;5;5;11;14;5;25;9
Traffic accidents;Number;Minor;Masindi;AFRUGA004009;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;5;4;5;9;4;14;5
Traffic accidents;Number;Minor;Rukungiri;AFRUGA004012;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;61;37;61;25;45;165;67
Traffic accidents;Number;Minor;Kamwenge;AFRUGA004013;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;15;77;15;115;91;127;35
Traffic accidents;Number;Minor;Kanungu;AFRUGA004014;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;21;10;21;51;10;63;32
Traffic accidents;Number;Minor;Kyenjojo;AFRUGA004015;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;26;11;26;168;15;74;37
Traffic accidents;Number;Injured;Hoima;AFRUGA004003;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;35;10;9;35;10;40;21
Traffic accidents;Number;Injured;Kabale;AFRUGA004004;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;155;29;39;155;34;167;99
Traffic accidents;Number;Injured;Kabarole;AFRUGA004005;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;217;49;84;217;56;242;109
Traffic accidents;Number;Injured;Kisoro;AFRUGA004008;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;94;32;33;94;40;107;42
Traffic accidents;Number;Minor;Mpigi;AFRUGA001006;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;174;89;174;461;106;499;236
Traffic accidents;Number;Minor;Mubende;AFRUGA001007;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;80;94;80;367;133;302;128
Traffic accidents;Number;Injured;Bushenyi;AFRUGA004002;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;116;26;31;116;27;97;40
Traffic accidents;Number;Killed;Kitgum;AFRUGA003005;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;17;17;10;70;17;87;60
Traffic accidents;Number;Fatal;Kayunga;AFRUGA001012;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;4;4;31;144;4;81;46
Traffic accidents;Number;Fatal;Wakiso;AFRUGA001013;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;29;29;37;84;31;125;59
Traffic accidents;Number;Fatal;Bugiri;AFRUGA002001;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;6;6;32;86;8;80;42
Traffic accidents;Number;Fatal;Busia;AFRUGA002002;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;14;14;44;84;16;84;26
Traffic accidents;Number;Fatal;Iganga;AFRUGA002003;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;53;53;69;298;57;263;141
Traffic accidents;Number;Fatal;Jinja;AFRUGA002004;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;52;52;289;258;57;561;220
Traffic accidents;Number;Fatal;Kapchorwa;AFRUGA002006;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;11;11;18;65;11;69;40
Traffic accidents;Number;Fatal;Katakwi;AFRUGA002007;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;4;4;6;29;4;19;9
Traffic accidents;Number;Fatal;Kumi;AFRUGA002008;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;2;2;4;6;2;9;3
Traffic accidents;Number;Fatal;Mbale;AFRUGA002009;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;15;15;15;80;15;64;34
Traffic accidents;Number;Fatal;Soroti;AFRUGA002011;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;44;44;187;397;51;405;174
Traffic accidents;Number;Fatal;Tororo;AFRUGA002012;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;23;23;37;105;38;102;42
Traffic accidents;Number;Fatal;Mayuge;AFRUGA002014;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;11;11;21;46;15;51;19
Traffic accidents;Number;Fatal;Kampala;AFRUGA001002;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;304;304;6253;4049;315;8573;2016
Traffic accidents;Number;Fatal;Luwero;AFRUGA001004;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;17;17;16;29;16;56;23
Traffic accidents;Number;Fatal;Masaka;AFRUGA001005;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;34;34;76;220;48;173;63
Traffic accidents;Number;Fatal;Mukono;AFRUGA001008;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;27;27;28;107;35;89;34
Traffic accidents;Number;Fatal;Nakasongola;AFRUGA001009;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;88;88;149;510;98;425;188
Traffic accidents;Number;Fatal;Rakai;AFRUGA001010;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;18;18;33;42;25;70;19
Traffic accidents;Number;Fatal;Ssembabule;AFRUGA001011;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;28;28;57;160;29;154;69
Traffic accidents;Number;Fatal;Sironko;AFRUGA002015;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;10;10;98;138;10;171;63
Traffic accidents;Number;Fatal;Adjumani;AFRUGA003001;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;2;2;33;6;2;65;30
Traffic accidents;Number;Fatal;Apac;AFRUGA003002;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;20;20;10;106;28;71;41
Traffic accidents;Number;Fatal;Arua;AFRUGA003003;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;22;22;50;110;22;131;59
Traffic accidents;Number;Fatal;Gulu;AFRUGA003004;2000;UGA_SA01, Statistical Abstract for the Year 2001, Uganda Bureau of Statistics_June 2001;26;26;40;127;29;161;95
