video_id,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent
n1JlFLbe-hY,2018-07-13T14:15:27.000Z,UC9Mt0PqBDH707e9moDpY_qQ,ስለ ፕ/ት ኢሳያስ አቀባበል ከመንግስት የተሰጠ አስቸኳይ መግለጫ Dr Abiy Ahmed,,https://i.ytimg.com/vi/n1JlFLbe-hY/default.jpg,120,90,https://i.ytimg.com/vi/n1JlFLbe-hY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/n1JlFLbe-hY/hqdefault.jpg,480,360,Addis Konjo,none
5oen7VCAGZk,2018-07-12T10:10:37.000Z,UC5OHRPjRa4XYIU5OQUdnDpg,{መታየት ያለበት}የጠ/ሚንስትር አብይ አህመድ ያልተሰማ ድንቅ ታሪክ Dr. Abiy Ahmed,{መታየት ያለበት}የጠ/ሚንስትር አብይ አህመድ ያልተሰማ ድንቅ ታሪክ Dr. Abiy Ahmed https://youtu.be/5oen7VCAGZk Senselet Drama S02...,https://i.ytimg.com/vi/5oen7VCAGZk/default.jpg,120,90,https://i.ytimg.com/vi/5oen7VCAGZk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5oen7VCAGZk/hqdefault.jpg,480,360,fikir tube,none
PWNq886-ADY,2018-07-14T07:13:30.000Z,UCK0JSh4Cu4zkeKCf0I_Hmwg,Ethiopia: Isaias Afewerki Arrived in Addis Abeba|Dr. Abiy Ahmed Love |Ethioscience From Ashruka,"The people warmly Welcoming Isaias Afewrki in Addis Abeba. **** Ethioscience.com, ethiosciencecom, ethioscience, Asres Ayele, asresayele, አሽሩካ, ashruka, ...",https://i.ytimg.com/vi/PWNq886-ADY/default.jpg,120,90,https://i.ytimg.com/vi/PWNq886-ADY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/PWNq886-ADY/hqdefault.jpg,480,360,Ethioscience.com,none
B1ttctx49As,2018-07-14T17:48:20.000Z,UCs8lV8NMuib7unJhFJOOkqA,Dr Abiy Translating President isaias's speech in hawassa/የኢሳያስ ንግግር በሀዋሳ በአብይ ሲተረጎም,Dr Abiy Translating President isaias's speech in hawassa የኢሳያስ ንግግር በሀዋሳ በአብይ ሲተረጎም.,https://i.ytimg.com/vi/B1ttctx49As/default.jpg,120,90,https://i.ytimg.com/vi/B1ttctx49As/mqdefault.jpg,320,180,https://i.ytimg.com/vi/B1ttctx49As/hqdefault.jpg,480,360,Addis Neger,none
BuqgX9pwEPQ,2018-07-10T00:37:59.000Z,UCCk2vUhB0SyQhA6JXyjXHEg,ጠሚ አብይ አህመድ የኢሳያስ አፈወርቂን መኖሪያ ጎበኙ | PM Abiy Ahmed visits President Isaias Afeworki's Residence,ጠሚ አብይ አህመድ የኢሳያስ አፈወርቂን መኖሪያ ጎበኙ | PM Abiy Ahmed visits President Isaias Afeworki's Residence Watch more Ethiopian videos daily at http://www.,https://i.ytimg.com/vi/BuqgX9pwEPQ/default.jpg,120,90,https://i.ytimg.com/vi/BuqgX9pwEPQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BuqgX9pwEPQ/hqdefault.jpg,480,360,EthioTube,none
PVvrzCdJBlY,2018-07-14T14:45:02.000Z,UC5OHRPjRa4XYIU5OQUdnDpg,የጠ/ሚንስትር አብይ ጋርዶች አስደናቂ ችሎታ Dr. Abiy Ahmed,"የጠ/ሚንስትር አብይ ጋርዶች አስደናቂ ችሎታ Dr. Abiy Ahmed Kana tv, Kana drama, EBS TV, Jtv ethiopia, New Ethiopian music, New Ethiopian movie, Hope...",https://i.ytimg.com/vi/PVvrzCdJBlY/default.jpg,120,90,https://i.ytimg.com/vi/PVvrzCdJBlY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/PVvrzCdJBlY/hqdefault.jpg,480,360,fikir tube,none
ecAHfTEFq8s,2018-07-14T13:50:21.000Z,UCs8lV8NMuib7unJhFJOOkqA,"Dr Abiy getting out of protocol to show love to the people/ ጠ/ሚ አብይ ""የፍቅር አባት"" ከመኪና ካልወረድኩ ብሎ ሲያስቸግር","Dr Abiy getting out of protocol to show love to the people ጠ/ሚ አብይ ""የፍቅር አባት"" ከመኪና ካልወረድኩ ብሎ ሲያስቸግር.",https://i.ytimg.com/vi/ecAHfTEFq8s/default.jpg,120,90,https://i.ytimg.com/vi/ecAHfTEFq8s/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ecAHfTEFq8s/hqdefault.jpg,480,360,Addis Neger,none
0kfh0ST3gVU,2018-07-14T08:24:44.000Z,UCK0JSh4Cu4zkeKCf0I_Hmwg,Ethiopia: Dr. Abiy Ahmed Welcomed Isaias Afewerki Full Ceremony|Ethioscience From Ashruka,"President Isaias Afewerki of Eriterea landed safely in Addis Abeba. ***** Ethioscience.com, ethiosciencecom, ethioscience, Asres Ayele, asresayele, አሽሩካ, ...",https://i.ytimg.com/vi/0kfh0ST3gVU/default.jpg,120,90,https://i.ytimg.com/vi/0kfh0ST3gVU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0kfh0ST3gVU/hqdefault.jpg,480,360,Ethioscience.com,none
sO9zoNOQu84,2018-07-14T12:20:00.000Z,UCs8lV8NMuib7unJhFJOOkqA,Dr Abiy putting a ring on Iisaias's hand/ጠ/ሚ አብይ ለፕሬዝዳንት ኢሳያስ ቀለበት ሲያደርጉ,Dr Abiy putting a ring on Iisaias's hand ጠ/ሚ አብይ ለፕሬዝዳንት ኢሳያስ ቀለበት ሲያደርጉ.,https://i.ytimg.com/vi/sO9zoNOQu84/default.jpg,120,90,https://i.ytimg.com/vi/sO9zoNOQu84/mqdefault.jpg,320,180,https://i.ytimg.com/vi/sO9zoNOQu84/hqdefault.jpg,480,360,Addis Neger,none
aJz0rTqnmz0,2018-07-12T06:25:48.000Z,UC7fWeaHhqgM4Ry-RMpM2YYw,Abiy Ahmed 100 Days,"Ethiopia swore in a new prime minister in April and since assuming power, Abiy Ahmed has pushed for sweeping changes. His announcements of reforms have ...",https://i.ytimg.com/vi/aJz0rTqnmz0/default.jpg,120,90,https://i.ytimg.com/vi/aJz0rTqnmz0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/aJz0rTqnmz0/hqdefault.jpg,480,360,TRT World,none
