video_id,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent
me2onCyMxJQ,2012-06-22T12:51:27.000Z,UCiJCpRC9BvG-xIlYImiNN0g,In Focus: The Lalibela Churches,"Welcome to In Focus. In this series we take a closer look at particular sites, finds and objects from the world of Archaeology. Today we travel to Ethiopia to see ...",https://i.ytimg.com/vi/me2onCyMxJQ/default.jpg,120,90,https://i.ytimg.com/vi/me2onCyMxJQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/me2onCyMxJQ/hqdefault.jpg,480,360,Archaeology Soup,none
HBq_zOzhTqw,2014-03-29T23:44:13.000Z,UCYWJ32GJbOgtzU2uHh0OMCQ,"Rock-Hewn Churches of Lalibela, Ethiopia in HD",The 11 medieval monolithic cave churches were built or rather carved from the rock by king Lalibela in the 13th century to create a 'New Jerusalem'. In the video: ...,https://i.ytimg.com/vi/HBq_zOzhTqw/default.jpg,120,90,https://i.ytimg.com/vi/HBq_zOzhTqw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/HBq_zOzhTqw/hqdefault.jpg,480,360,Amazing Places on Our Planet,none
ISchxenQRjI,2013-09-24T00:37:11.000Z,UC9Kg2sWtwG0_Regroy68zGg,Ancient Aliens - Lalibela Churches,"This is a clip from the History Channel's Ancient Aliens series. In this clip they discuss how the churches found in Lalibela, Ethopia came to be. How were these ...",https://i.ytimg.com/vi/ISchxenQRjI/default.jpg,120,90,https://i.ytimg.com/vi/ISchxenQRjI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ISchxenQRjI/hqdefault.jpg,480,360,Josh the Pagan,none
zI4N0KrDjLg,2009-09-13T09:51:09.000Z,UC12y7vLG6nlC45TPt_idG2A,Lalibela - the history behind the Rock churches of Ethiopia,"This is a documentary from CNN Millenium about the history of Lalibela churches, and their rich cultural significance for Ethiopians. Check out ...",https://i.ytimg.com/vi/zI4N0KrDjLg/default.jpg,120,90,https://i.ytimg.com/vi/zI4N0KrDjLg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/zI4N0KrDjLg/hqdefault.jpg,480,360,africanheritagevideo,none
pdNg2wW_ODw,2018-06-26T14:21:03.000Z,UCf4e64hhji8OVdUtGa-XPAQ,Ethiopia Vlog 13 Traveling to Lalibela ⛰ | Amena,SOCIAL MEDIA ⇦ ✓ INSTAGRAM: http://instagram.com/AmenaTeferi ✓ FACEBOOK: http://www.facebook.com/OfficialAmena ...,https://i.ytimg.com/vi/pdNg2wW_ODw/default.jpg,120,90,https://i.ytimg.com/vi/pdNg2wW_ODw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/pdNg2wW_ODw/hqdefault.jpg,480,360,Amena Teferi,none
5-8kWn1tmXo,2018-01-08T13:03:40.000Z,UCn-x-TvMDW28zgDM6SNXAiA,ተአምረኛው መነኩሴ ላሊበላን ደገመው | Lalibela Recreation,ተአምረኛው መነኩሴ ላሊበላን ደገመው | Lalibela Recreation.,https://i.ytimg.com/vi/5-8kWn1tmXo/default.jpg,120,90,https://i.ytimg.com/vi/5-8kWn1tmXo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5-8kWn1tmXo/hqdefault.jpg,480,360,EthioInfo,none
eZGdZZa7hNs,2017-01-25T15:55:31.000Z,UCPuOCctEEhiPOAEj4lfjFMw,"Éthiopie - Lalibela, Aksoum...",Documentaire sur : - la cité monastique orthodoxe chrétienne Lalibela avec ses 11 églises médiévales taillées dans la roche. - Aksoum et ses obélisques (pierre ...,https://i.ytimg.com/vi/eZGdZZa7hNs/default.jpg,120,90,https://i.ytimg.com/vi/eZGdZZa7hNs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/eZGdZZa7hNs/hqdefault.jpg,480,360,Mutatis mutandis,none
-UExKTAukF0,2017-06-18T21:15:23.000Z,UCE1A4LY4_s1nEttQOAnV-Ag,Afrikas Weltwunder: Äthiopien die Legende von Lalibela und die in den Stein gehauenen Kirchen,Buchempfehlungen bei Diskussion auf mein Kanal viel Spass beim lesen.,https://i.ytimg.com/vi/-UExKTAukF0/default.jpg,120,90,https://i.ytimg.com/vi/-UExKTAukF0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-UExKTAukF0/hqdefault.jpg,480,360,Keine Ahnung,none
pD7RE1csNk0,2018-02-25T06:29:13.000Z,UCaOgWwjayI5kyM4-jsWDMAw,Amma Than Nenjile | Lalibela | Bijibal | Biju Bernad,"A song from the movie Lalibela, dedicated to all mothers in this universe. Lalibela is a Malayalam movie produced by People Talkies and directed by Biju ...",https://i.ytimg.com/vi/pD7RE1csNk0/default.jpg,120,90,https://i.ytimg.com/vi/pD7RE1csNk0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/pD7RE1csNk0/hqdefault.jpg,480,360,Bodhi Silent Scape,none
FcMXxBW85Dw,2016-07-29T09:31:44.000Z,UCPgvCUSmHWm2177LkwLtZQw,Guardianes de la Historia: Lalibela (Etiopía) - Programa Completo | #0,"En Etiopía, los Guardianes de la Historia recorren las iglesias excavadas en la roca, un verdadero milagro arquitectónico que se ha llegado a atribuir a los ...",https://i.ytimg.com/vi/FcMXxBW85Dw/default.jpg,120,90,https://i.ytimg.com/vi/FcMXxBW85Dw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/FcMXxBW85Dw/hqdefault.jpg,480,360,#0,none
TllP_tdYiow,2018-07-14T01:49:57.000Z,UCf4e64hhji8OVdUtGa-XPAQ,Ethiopia Vlog 15 Lalibela The Most Famous Spot | Amena,SOCIAL MEDIA ⇦ ✓ INSTAGRAM: http://instagram.com/AmenaTeferi ✓ FACEBOOK: http://www.facebook.com/OfficialAmena ...,https://i.ytimg.com/vi/TllP_tdYiow/default.jpg,120,90,https://i.ytimg.com/vi/TllP_tdYiow/mqdefault.jpg,320,180,https://i.ytimg.com/vi/TllP_tdYiow/hqdefault.jpg,480,360,Amena Teferi,none
o9QY6FnBDhg,2015-09-04T10:09:28.000Z,UCur6zheh2qGI2mMdqES5kMg,Lalibela Construções Monolíticas - Full HD  - Igrejas de Pedra  Etiópia,Você Sabe o que é “O Salto Quântico Genético”? Acesse: https://osaltociencia.blogspot.com.br/2008/12/iniciacao-o-salto-quantico-genetico-o.html ...,https://i.ytimg.com/vi/o9QY6FnBDhg/default.jpg,120,90,https://i.ytimg.com/vi/o9QY6FnBDhg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/o9QY6FnBDhg/hqdefault.jpg,480,360,Bruno Sete7Sete7,none
yyemTMfRsYI,2018-02-01T18:37:25.000Z,UC9Mt0PqBDH707e9moDpY_qQ,Ethiopia አስገራሚው መነኩሴ የፈለፈሉት 2ኛው ላሊበላ ቤ/ን ተመረቀ Lalibela Church,,https://i.ytimg.com/vi/yyemTMfRsYI/default.jpg,120,90,https://i.ytimg.com/vi/yyemTMfRsYI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/yyemTMfRsYI/hqdefault.jpg,480,360,Addis Konjo,none
Lo_KycIyHAg,2014-01-08T13:00:03.000Z,UCyEd6QBSgat5kkC6svyjudA,"Lalibela, Ethiopia (ላሊበላ) - Tour of the Incredible Rock Churches!","Lalibela, Ethiopia (ላሊበላ) is home to the incredible rock churches of Lalibela, carved from single blocks of stone. Here's my blog: http://migrationology.com/ ...",https://i.ytimg.com/vi/Lo_KycIyHAg/default.jpg,120,90,https://i.ytimg.com/vi/Lo_KycIyHAg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Lo_KycIyHAg/hqdefault.jpg,480,360,Mark Wiens,none
ED48XoAUwkY,2014-04-30T15:30:20.000Z,UCmVLw14lnmOgyQ3fgSIUvag,King LALIBELA FULL HISTORY IN AMHARIC,,https://i.ytimg.com/vi/ED48XoAUwkY/default.jpg,120,90,https://i.ytimg.com/vi/ED48XoAUwkY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ED48XoAUwkY/hqdefault.jpg,480,360,Kenaw Fentaye,none
b6NTxJ2lUIU,2016-10-02T23:45:42.000Z,UCsOMZsjFkv1MSqRE_o2zVKg,Ethiopia - Timkat 2016 Celebration in Lalibela,The Timkat is the most important religious celebration for the Ethiopian Orthodox church and a very popular event that people attend from all part of the country.,https://i.ytimg.com/vi/b6NTxJ2lUIU/default.jpg,120,90,https://i.ytimg.com/vi/b6NTxJ2lUIU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/b6NTxJ2lUIU/hqdefault.jpg,480,360,Minou Taiwan Videos,none
-kI7rfELTNE,2017-10-19T12:36:50.000Z,UCZddkxg-PLZHpXaI4XOHKvQ,"JOSEPH LALIBELA - MASTERPLAN & KAI DUB - MASTER DUB (DUB FORWARD 10"")",DF001 - AA SIDE - 45 RPM - 2017 Vocals By Joseph Lalibela Mixed & Produced By Kai Dub. JAHWAGGY RECORDS: ...,https://i.ytimg.com/vi/-kI7rfELTNE/default.jpg,120,90,https://i.ytimg.com/vi/-kI7rfELTNE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-kI7rfELTNE/hqdefault.jpg,480,360,Kai Dub Forward,none
BovSHhPh6kU,2014-11-25T20:38:11.000Z,UCMikz707qIBZCNuID6_M2IQ,Lalibela Olodum,Lalibela Olodum - Finalista Femadum 2015 - Autores: Alisson Lima e Ângelo Lima - Música Vencedora 1º lugar.,https://i.ytimg.com/vi/BovSHhPh6kU/default.jpg,120,90,https://i.ytimg.com/vi/BovSHhPh6kU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BovSHhPh6kU/hqdefault.jpg,480,360,riri lisboa,none
dUfNJDParvc,2012-06-13T01:23:11.000Z,UCxPa8TDSUqZIhMWwe4nr5mg,Lalibela (Éthiopie),"Uhem Mesut, le renouvellement des naissances: http://uhem-mesut.com/",https://i.ytimg.com/vi/dUfNJDParvc/default.jpg,120,90,https://i.ytimg.com/vi/dUfNJDParvc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/dUfNJDParvc/hqdefault.jpg,480,360,Nzwamba,none
vgiuaZtY3B0,2016-01-20T00:00:00.000Z,UC3o_gaqvLoPSRVMc2GmkDrg,Lalibela (Ethiopia) Vacation Travel Video Guide,"Travel video about destination Lalibela in Ethiopia. In the mountainous highlands of Ethiopia lies an extraordinary treasure of the history of mankind, the eleven ...",https://i.ytimg.com/vi/vgiuaZtY3B0/default.jpg,120,90,https://i.ytimg.com/vi/vgiuaZtY3B0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/vgiuaZtY3B0/hqdefault.jpg,480,360,Expoza Travel,none
DkFje0O_B2M,2013-11-16T20:32:37.000Z,UC8u8HKEnvJppvPRLUBSVcvg,Tutorial orecchini Lalibela con superduo,Senza di te sarebbe stato impossibile grazie Orlando : Riprese e montaggio: Orlando Tarallo - videorly - https://www.youtube.com/user/videorly Inoltre devo dire ...,https://i.ytimg.com/vi/DkFje0O_B2M/default.jpg,120,90,https://i.ytimg.com/vi/DkFje0O_B2M/mqdefault.jpg,320,180,https://i.ytimg.com/vi/DkFje0O_B2M/hqdefault.jpg,480,360,lali73,none
_s0x_gaEfoY,2014-10-13T18:12:59.000Z,UCVOllI0RojWUAMI3vPq_vKA,Skatalites -  Lalibela,Skatalites - Lalibela.,https://i.ytimg.com/vi/_s0x_gaEfoY/default.jpg,120,90,https://i.ytimg.com/vi/_s0x_gaEfoY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/_s0x_gaEfoY/hqdefault.jpg,480,360,Lisa Oi!,none
s5pMaEFOpFw,2015-04-07T07:58:17.000Z,UCEAxD-Gioxs6L9oQH6fq9dA,ÉGLISES RUPESTRES DE LALIBELA,"Visite du site avec François-Xavier Fauvelle, historien, CFEE, Olivier Onézime, topographe, Inrap et Marie-Laure Derat, historienne, CFEE. Inscrite par l'Unesco ...",https://i.ytimg.com/vi/s5pMaEFOpFw/default.jpg,120,90,https://i.ytimg.com/vi/s5pMaEFOpFw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/s5pMaEFOpFw/hqdefault.jpg,480,360,TEMPLE DE PARIS Maison des Templiers,none
SAm4bULgRQs,2018-03-15T11:08:59.000Z,UCNEl_F33EANGa7ey-lFCZjw,O.B.F. feat. Joseph Lalibela - How You Feel (Dubquake Records) - 2018,Vinyl: O.B.F. feat. Joseph Lalibela - Babylon is Falling/How You Feel (Dubquake Records/Modulor) - 2018 - O.B.F/Dubquake Rec: ...,https://i.ytimg.com/vi/SAm4bULgRQs/default.jpg,120,90,https://i.ytimg.com/vi/SAm4bULgRQs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/SAm4bULgRQs/hqdefault.jpg,480,360,SALAMI SOUND SELEKTA,none
TpBP_h02NTM,2013-03-02T20:55:30.000Z,UCN4OgC7oEVEMsYz4ivCnvHg,"ETHIOPIA, walking around fascinating and HISTORIC LALIBELA","SUBSCRIBE: http://www.youtube.com/c/VicStefanu - Historic Lalibela (Ethiopia), a walking tour! A walking tour of Lalibela, Ethiopia. Vic Stefanu ...",https://i.ytimg.com/vi/TpBP_h02NTM/default.jpg,120,90,https://i.ytimg.com/vi/TpBP_h02NTM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/TpBP_h02NTM/hqdefault.jpg,480,360,Vic Stefanu - World Travels and Adventures,none
ERhcwxW-_B0,2015-07-05T19:39:19.000Z,UCVUTJTvATU795LFvFIVw9Dw,Joseph Lalibela I'am an Ethiopian // Far East mt Sista Habesha & Ras Moa - For H.I.M. Glory,"Steppalist Selection..! A: Joseph Lalibela I'am an Ethiopian - Far East mt Sista Habesha & Ras Moa - For H.I.M. Glory 12"" JahSouljah records 2014 Prod.",https://i.ytimg.com/vi/ERhcwxW-_B0/default.jpg,120,90,https://i.ytimg.com/vi/ERhcwxW-_B0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ERhcwxW-_B0/hqdefault.jpg,480,360,Steppalist,none
2IDjteenI8c,2013-12-19T08:56:31.000Z,UCtkWUNf8r3V-Ztu1CAeXy1w,LALIBELA :  IGLESIAS TALLADAS  EN LA ROCA,"Lalibela es una ciudad monástica del norte de Etiopía, ciudad santa e importante centro de peregrinación de la Iglesia ortodoxa etíope, donde se encuentran ...",https://i.ytimg.com/vi/2IDjteenI8c/default.jpg,120,90,https://i.ytimg.com/vi/2IDjteenI8c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2IDjteenI8c/hqdefault.jpg,480,360,Florian Yubero Cañas,none
0nl_7C_Cq5o,2016-10-29T20:05:12.000Z,UC7ox7AXMB0q16wf41L_e5RA,Ethiopia found new church like Lalibela,,https://i.ytimg.com/vi/0nl_7C_Cq5o/default.jpg,120,90,https://i.ytimg.com/vi/0nl_7C_Cq5o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0nl_7C_Cq5o/hqdefault.jpg,480,360,Yonas Gurmu,none
6-hQxYCKNQQ,2010-08-07T22:25:11.000Z,UCF3z3GJEDgA7gjgJuus6xkA,Caribou : Lalibela,Artiste : Caribou Genre : Electro-pop Album : Swim Date : 19 avril 2010 Label : City Slang.,https://i.ytimg.com/vi/6-hQxYCKNQQ/default.jpg,120,90,https://i.ytimg.com/vi/6-hQxYCKNQQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6-hQxYCKNQQ/hqdefault.jpg,480,360,psikos49,none
dvZWJXNLNKo,2015-01-06T01:11:36.000Z,UCMikz707qIBZCNuID6_M2IQ,OLODUM Lalibela,"No ensaio dia 28.12.2014, na Terça do Olodum Mateus Vidal canta: Lalibela Olodum, música vencedora do tema ""Femadum 2015 e Carnaval 2015"". autores: ...",https://i.ytimg.com/vi/dvZWJXNLNKo/default.jpg,120,90,https://i.ytimg.com/vi/dvZWJXNLNKo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/dvZWJXNLNKo/hqdefault.jpg,480,360,riri lisboa,none
Qi4zEXGlbT4,2016-06-06T17:34:31.000Z,UCwJJQHx2p-BvFd9otnfXO-g,Maasai Warrior ft. Joseph Lalibela - Like A Warriyah & Dub Warriyah + King Alpha Collaboration Cuts,STEP IT AS A WARRIYAH! Maasai Warrior: https://soundcloud.com/maasaiwarrior https://www.facebook.com/maasaiwarriorsoundsystem/ FOR SALE ON: ...,https://i.ytimg.com/vi/Qi4zEXGlbT4/default.jpg,120,90,https://i.ytimg.com/vi/Qi4zEXGlbT4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Qi4zEXGlbT4/hqdefault.jpg,480,360,DeoSTerriere,none
00o9hVsbTSs,2015-12-07T14:00:00.000Z,UCzx062pqzC4MH6yedufVDMA,Lalibela - The core of the Orthodox church,"Lalibela, its eleven main churches and the dozens of small churches and monasteries around it, was at one time the center of Ethiopia and the center of the ...",https://i.ytimg.com/vi/00o9hVsbTSs/default.jpg,120,90,https://i.ytimg.com/vi/00o9hVsbTSs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/00o9hVsbTSs/hqdefault.jpg,480,360,New Atlantis TRIBES,none
vFbSnfy0Ea0,2016-07-14T13:04:10.000Z,UCmKha-iY_-_YYvTGy2CdleQ,LALIBELA - Etiopía,,https://i.ytimg.com/vi/vFbSnfy0Ea0/default.jpg,120,90,https://i.ytimg.com/vi/vFbSnfy0Ea0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/vFbSnfy0Ea0/hqdefault.jpg,480,360,culturapractica,none
V7unAa7n2Yk,2017-03-26T15:35:37.000Z,UCLjPBHTObH6efWQWoIVePMw,"Lalibela, Ethiopia",February 2017. The song is Drinkee by Sofi Tukker.,https://i.ytimg.com/vi/V7unAa7n2Yk/default.jpg,120,90,https://i.ytimg.com/vi/V7unAa7n2Yk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/V7unAa7n2Yk/hqdefault.jpg,480,360,Candice Hwang,none
3QcvXFTsm2s,2017-11-03T06:34:02.000Z,UCEuvzIxvt66CCcZGQfCG5jQ,Axum - Lalibela  - Addis Ababa | Two flights | Ethiopian Airlines,,https://i.ytimg.com/vi/3QcvXFTsm2s/default.jpg,120,90,https://i.ytimg.com/vi/3QcvXFTsm2s/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3QcvXFTsm2s/hqdefault.jpg,480,360,robert maher,none
7MiXHPWokF4,2017-10-30T09:46:01.000Z,UCF5JNGwmOZs_V9d4n6erZ6g,O.B.F. ► Joseph Lalibela - Babylon A Fall @ Dubquake 2017,Prévu sur le label Dubquake records avant l'hiver !,https://i.ytimg.com/vi/7MiXHPWokF4/default.jpg,120,90,https://i.ytimg.com/vi/7MiXHPWokF4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7MiXHPWokF4/hqdefault.jpg,480,360,Wise Up Station,none
sO2F9vgMAHc,2018-01-26T16:04:11.000Z,UCDlRAOaPytEfCrCi6VkYEAg,"O.B.F. / Joseph Lalibela - Babylon Is Falling / How You Feel - 12"" - OBF Records",This vinyl record is available on reggae dub vinyl shop ...,https://i.ytimg.com/vi/sO2F9vgMAHc/default.jpg,120,90,https://i.ytimg.com/vi/sO2F9vgMAHc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/sO2F9vgMAHc/hqdefault.jpg,480,360,ReggaeDub Shop,none
u3GIXpaFMR8,2017-10-01T17:39:24.000Z,UC7mhslukS6vHUJ8lxIPUt8w,Exploring the Ethiopian Rock Churches of Lalibela,A weekend outing from Addis Ababa to check out the most famous tourist attractions in Ethiopia!,https://i.ytimg.com/vi/u3GIXpaFMR8/default.jpg,120,90,https://i.ytimg.com/vi/u3GIXpaFMR8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/u3GIXpaFMR8/hqdefault.jpg,480,360,Jack Bennet,none
G1qYKuv73Ls,2015-07-06T20:22:02.000Z,UCaJZ-EPjKUZJqbbUOQFJd1A,Joseph Lalibela - Hot Like Fire + Hot Dub,"Joseph Lalibela   – Hot Like Fire Label: King Earthquake   – KE10-11 Format: Vinyl, 10"" Country: UK Released: 2014 Genre: Reggae Style: Roots Reggae, Dub.",https://i.ytimg.com/vi/G1qYKuv73Ls/default.jpg,120,90,https://i.ytimg.com/vi/G1qYKuv73Ls/mqdefault.jpg,320,180,https://i.ytimg.com/vi/G1qYKuv73Ls/hqdefault.jpg,480,360,adonaisounds,none
