authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId.value,videoId,textDisplay,textOriginal,canRate,viewerRating,likeCount,publishedAt,updatedAt,id,parentId,moderationStatus
Abel Henok,https://yt3.ggpht.com/-VRa_Ko9Eoc4/AAAAAAAAAAI/AAAAAAAAAAA/x2i2GEi_w0o/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCIpQVTUc6HiT9uy1iCEuE5w,UCIpQVTUc6HiT9uy1iCEuE5w,5-8kWn1tmXo,Betam des Yemil. Bezih Zemen endih yal neger mayet Egizabher endaltewen Yamelekital.,Betam des Yemil. Bezih Zemen endih yal neger mayet Egizabher endaltewen Yamelekital.,TRUE,none,0,2018-06-09T15:10:57.000Z,2018-06-09T15:10:57.000Z,Ugzs18wB1bLONxdqnqN4AaABAg,NA,NA
Get Right,https://yt3.ggpht.com/-WltnE3z6YjY/AAAAAAAAAAI/AAAAAAAAAAA/eCk7lr0bXZk/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCDEAR-5Gcct9Oi_O-XC93yQ,UCDEAR-5Gcct9Oi_O-XC93yQ,5-8kWn1tmXo,የባቢሎን ነገር,የባቢሎን ነገር,TRUE,none,0,2018-06-09T08:39:56.000Z,2018-06-09T08:39:56.000Z,UgzPQ_XXnkW2O7JmSsJ4AaABAg,NA,NA
Mikiyas ye gewregese Liji,https://yt3.ggpht.com/-8y9Kxq5gmyE/AAAAAAAAAAI/AAAAAAAAAAA/OE7KvpThSc4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UC330M4yMRZ009hvYsviIxig,UC330M4yMRZ009hvYsviIxig,5-8kWn1tmXo,Ellllllllleelllllllllllleelllllllllllllllll<br />Egzabehere  yemesgni Amen endet menefesene  yadeseaele bewnet egzabehere yemesgni Amen abaeteshene egzabehere eregeme  edemne  yesetene Amen tenae  yesetene abaeteshene bereketewte  yederebene Amen fffffffffff endet desssssss yelale yemesgni fetare  Egzabehere hoye  lebetoeue ledegoeue abekaegni bewnet egzabehere eredaegni embeta eregegni<br />Twahedoe lezelaeme  tenoere Amen<br />Kale hiwoeten yasemalene Amen Amen ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥,"Ellllllllleelllllllllllleelllllllllllllllll
Egzabehere  yemesgni Amen endet menefesene  yadeseaele bewnet egzabehere yemesgni Amen abaeteshene egzabehere eregeme  edemne  yesetene Amen tenae  yesetene abaeteshene bereketewte  yederebene Amen fffffffffff endet desssssss yelale yemesgni fetare  Egzabehere hoye  lebetoeue ledegoeue abekaegni bewnet egzabehere eredaegni embeta eregegni
Twahedoe lezelaeme  tenoere Amen
Kale hiwoeten yasemalene Amen Amen ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥",TRUE,none,0,2018-06-08T21:28:05.000Z,2018-06-08T21:28:05.000Z,UgxSJWDWDZXTpTO7PD14AaABAg,NA,NA
እድኒኝ እማምላክ ከስጋ ፈተና,https://yt3.ggpht.com/-vZA63eaP0Aw/AAAAAAAAAAI/AAAAAAAAAAA/WQNGok_7kng/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCvl5PNHDG7CN4112tcRbY0Q,UCvl5PNHDG7CN4112tcRbY0Q,5-8kWn1tmXo,አባታችን በረከትወ የደረሰን እድሜና ጤና ያድልወት። <br />እግዚአብሔር ሆይ ክብርና ምስጋና ይግባህ,"አባታችን በረከትወ የደረሰን እድሜና ጤና ያድልወት። 
እግዚአብሔር ሆይ ክብርና ምስጋና ይግባህ",TRUE,none,0,2018-06-01T23:23:15.000Z,2018-06-01T23:23:15.000Z,UgzaLuZhbYXJS68WS2V4AaABAg,NA,NA
T. g,https://yt3.ggpht.com/-Wv2yeRjjdoM/AAAAAAAAAAI/AAAAAAAAAAA/1wUaDTxdEgQ/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCTeUyjw_kWudf3nKCFwhCsw,UCTeUyjw_kWudf3nKCFwhCsw,5-8kWn1tmXo,elelelelelelelelelelelelelelele..................................kebre mesegana Ygebachuwal elelelelel............,elelelelelelelelelelelelelelele..................................kebre mesegana Ygebachuwal elelelelel............,TRUE,none,0,2018-05-22T09:26:29.000Z,2018-05-22T09:26:29.000Z,UgwDVhTL-iTmfPRX4kN4AaABAg,NA,NA
mata matosa,https://yt3.ggpht.com/-QoeLA3kTPQs/AAAAAAAAAAI/AAAAAAAAAAA/M3qvL_sHXos/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCAUGts0oR9ilpgEzEMbo9fg,UCAUGts0oR9ilpgEzEMbo9fg,5-8kWn1tmXo,Built by the Egyptian Copts,Built by the Egyptian Copts,TRUE,none,0,2018-05-07T17:53:17.000Z,2018-05-07T17:53:17.000Z,UgwB_AwihcuYgyEJWdt4AaABAg,NA,NA
Tiruye Desta,https://yt3.ggpht.com/-gW2tmafeG2Y/AAAAAAAAAAI/AAAAAAAAAAA/g6TDFqvs904/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCrFYDXwxAs6pHqD52LFxlIw,UCrFYDXwxAs6pHqD52LFxlIw,5-8kWn1tmXo,ዕፁብ ድንቅ የአምላክ ሥራ የኦርቶዶክስ  ሐይማኖት ለዘላለም ትኑር  ለአባቶቻችን ዕድሜና ጤና ይስጥልን,ዕፁብ ድንቅ የአምላክ ሥራ የኦርቶዶክስ  ሐይማኖት ለዘላለም ትኑር  ለአባቶቻችን ዕድሜና ጤና ይስጥልን,TRUE,none,0,2018-05-05T16:03:51.000Z,2018-05-05T16:03:51.000Z,Ugwew1EsgF1KWHDD4-94AaABAg,NA,NA
tsedal Kassie,https://yt3.ggpht.com/-relxqLgwCsQ/AAAAAAAAAAI/AAAAAAAAAAA/xgQandocceQ/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCLIG2t6_x8iuOmiIcVG-tPg,UCLIG2t6_x8iuOmiIcVG-tPg,5-8kWn1tmXo,egzhbhaeryemasegn,egzhbhaeryemasegn,TRUE,none,0,2018-05-03T11:43:33.000Z,2018-05-03T11:43:33.000Z,UgxSOPv3lLE5zhLDatx4AaABAg,NA,NA
tsedal Kassie,https://yt3.ggpht.com/-relxqLgwCsQ/AAAAAAAAAAI/AAAAAAAAAAA/xgQandocceQ/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCLIG2t6_x8iuOmiIcVG-tPg,UCLIG2t6_x8iuOmiIcVG-tPg,5-8kWn1tmXo,Egzhbhaeryeman,Egzhbhaeryeman,TRUE,none,0,2018-05-03T11:41:58.000Z,2018-05-03T11:41:58.000Z,UgwLGHhdYTkJDtUodr14AaABAg,NA,NA
Hiwot Tesfaye,https://yt3.ggpht.com/-SQeioCvX2aw/AAAAAAAAAAI/AAAAAAAAAAA/jAY2xkY8WhE/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCYIGZd0nvI9OVvJ_FH8Qu7w,UCYIGZd0nvI9OVvJ_FH8Qu7w,5-8kWn1tmXo,Egezeabehr yemesegen Edeme Thena Yestelen Yabatochachen Amelack Yekeber Yemesegen,Egezeabehr yemesegen Edeme Thena Yestelen Yabatochachen Amelack Yekeber Yemesegen,TRUE,none,0,2018-05-01T18:11:45.000Z,2018-05-01T18:11:45.000Z,Ugw94xDiiAJN-7ing894AaABAg,NA,NA
